dato,SNN47_IVL_U,SNN471_IVL_U,SNN472_IVL_U,SNN473_IVL_U,SNN474_IVL_U,SNN475_IVL_U,SNN476_IVL_U,SNN477_IVL_U,SNN479_IVL_U
2000-01-01,59.0,64.7,50.6,102.5,30.3,60.2,45.4,45.6,32.4
2000-02-01,57.9,66.7,56.4,96.8,25.5,55.2,42.3,42.5,37.7
2000-03-01,62.7,72.7,62.3,104.5,25.6,60.7,46.6,45.6,34.4
2000-04-01,60.8,72.4,65.0,105.7,20.6,53.3,45.3,43.8,30.0
2000-05-01,68.6,75.6,60.6,113.5,22.5,66.3,56.2,57.9,34.9
2000-06-01,68.6,73.9,66.2,118.0,26.5,70.1,62.8,53.2,28.8
2000-07-01,66.7,73.5,67.0,120.6,24.7,67.4,55.6,48.9,27.4
2000-08-01,70.8,74.7,63.1,119.4,30.0,76.5,71.4,52.1,36.1
2000-09-01,65.7,72.9,61.9,110.7,27.4,68.9,49.7,48.9,36.7
2000-10-01,65.4,70.7,58.8,112.7,30.1,73.5,43.1,48.8,39.9
2000-11-01,67.1,72.8,66.4,111.6,29.2,72.1,48.9,51.6,40.6
2000-12-01,87.0,90.3,112.5,116.2,43.9,87.0,91.3,78.7,29.4
2001-01-01,61.0,66.6,51.8,102.7,34.1,65.4,46.0,46.9,33.1
2001-02-01,56.0,65.3,53.9,95.7,25.4,53.5,40.0,40.2,32.5
2001-03-01,64.5,75.8,64.5,107.4,28.2,60.9,46.9,46.6,35.1
2001-04-01,60.7,71.3,61.3,106.1,23.3,54.5,44.0,45.3,30.1
2001-05-01,67.0,75.1,61.1,109.1,23.2,65.3,46.7,57.6,31.6
2001-06-01,71.3,77.9,68.2,121.4,29.5,73.4,57.9,57.5,24.9
2001-07-01,67.6,74.2,65.8,123.4,28.0,70.2,51.5,50.6,23.9
2001-08-01,71.8,76.5,66.2,119.8,35.1,79.7,63.3,54.4,30.1
2001-09-01,64.8,71.6,58.3,107.6,31.6,69.1,46.9,50.3,31.2
2001-10-01,68.9,74.5,60.9,111.2,35.5,79.0,45.2,54.3,37.4
2001-11-01,70.9,76.8,69.2,111.0,35.2,79.3,51.7,55.7,36.3
2001-12-01,88.6,92.0,110.6,113.1,47.8,86.9,94.9,83.4,29.0
2002-01-01,64.6,69.3,54.4,110.5,40.0,71.0,48.1,51.1,28.5
2002-02-01,59.1,68.0,56.2,102.7,29.4,57.6,41.8,43.2,29.7
2002-03-01,65.8,78.8,69.8,116.3,30.0,59.1,46.9,45.2,29.7
2002-04-01,66.5,72.6,58.7,112.6,29.9,66.7,52.8,54.3,33.2
2002-05-01,71.3,78.1,67.2,127.2,29.0,68.8,53.4,59.4,29.5
2002-06-01,73.7,78.6,69.4,134.4,34.3,74.7,61.6,59.1,25.5
2002-07-01,72.2,76.7,71.0,138.1,34.7,73.7,63.0,53.8,25.2
2002-08-01,75.0,81.3,69.5,130.8,39.0,76.9,74.1,54.1,31.1
2002-09-01,68.4,72.8,61.5,120.2,36.1,72.2,55.4,53.5,32.7
2002-10-01,73.0,77.3,66.4,122.4,38.2,80.0,53.3,59.2,38.0
2002-11-01,74.6,79.2,75.3,119.4,38.9,80.3,62.1,59.5,38.6
2002-12-01,91.4,92.6,119.4,116.7,54.5,86.5,109.8,86.6,29.6
2003-01-01,65.7,71.1,59.4,101.1,41.9,71.2,52.3,54.0,28.1
2003-02-01,59.9,69.2,61.0,92.6,33.3,57.5,46.9,45.8,30.5
2003-03-01,66.1,75.4,64.5,105.2,38.4,63.0,52.7,51.2,34.5
2003-04-01,68.9,78.4,71.1,107.9,44.6,64.5,55.7,54.3,32.6
2003-05-01,72.5,79.2,69.7,113.8,38.4,71.4,56.2,63.7,31.1
2003-06-01,75.2,78.4,71.4,121.6,46.2,77.7,65.4,65.5,30.0
2003-07-01,75.5,80.9,77.1,123.5,44.4,77.7,68.1,60.3,26.6
2003-08-01,76.0,80.1,70.6,117.5,47.3,82.4,75.9,59.3,34.4
2003-09-01,72.2,76.4,66.7,110.3,47.7,78.0,58.5,60.2,39.2
2003-10-01,75.6,79.6,72.3,111.8,47.2,84.6,57.2,64.8,38.8
2003-11-01,73.6,77.7,73.1,102.9,49.0,80.4,63.7,62.1,39.8
2003-12-01,97.1,97.5,126.2,105.8,80.9,94.6,120.4,94.7,33.2
2004-01-01,69.5,74.5,61.5,105.1,54.9,73.8,57.0,58.9,30.6
2004-02-01,62.5,71.0,63.0,95.0,43.5,58.3,49.7,50.7,33.2
2004-03-01,71.2,78.9,69.7,107.0,62.8,68.6,56.4,58.2,39.9
2004-04-01,71.1,79.9,72.6,107.5,47.2,65.8,58.8,59.8,32.5
2004-05-01,71.5,74.7,67.3,115.3,46.8,70.9,55.3,66.0,33.8
2004-06-01,81.4,81.0,76.8,121.2,64.3,89.1,78.2,73.3,34.8
2004-07-01,77.2,80.9,82.3,122.8,53.4,82.1,65.7,63.5,30.5
2004-08-01,77.7,80.2,69.5,117.6,58.4,84.5,73.6,65.1,37.6
2004-09-01,74.9,75.9,69.3,113.4,59.8,84.3,57.7,64.8,47.2
2004-10-01,75.6,77.4,72.6,111.3,53.2,86.3,55.3,66.8,41.2
2004-11-01,77.0,78.1,72.5,109.9,55.4,86.8,62.2,68.8,44.9
2004-12-01,100.9,96.0,127.0,108.7,89.5,105.4,118.9,104.2,38.1
2005-01-01,68.6,70.2,60.0,100.1,68.1,77.9,51.0,60.3,38.2
2005-02-01,64.6,69.8,63.7,95.6,50.4,64.1,51.8,55.2,39.0
2005-03-01,70.4,79.2,75.9,108.9,53.7,65.0,53.4,57.1,40.4
2005-04-01,75.4,77.6,69.5,106.5,51.9,77.5,62.4,72.7,42.2
2005-05-01,74.8,76.2,72.5,115.6,46.5,78.7,52.5,71.1,41.1
2005-06-01,83.5,81.3,80.2,122.5,61.7,94.6,69.1,79.2,41.7
2005-07-01,79.8,80.9,86.5,123.3,56.2,87.6,65.4,69.8,34.5
2005-08-01,82.8,81.2,77.1,119.6,66.2,97.7,74.8,72.5,43.6
2005-09-01,77.4,77.2,77.8,111.1,61.4,89.5,57.2,69.2,47.6
2005-10-01,77.1,76.4,75.7,110.0,59.9,92.3,54.4,69.7,44.6
2005-11-01,79.8,78.6,79.1,105.4,64.5,94.8,63.1,73.0,50.6
2005-12-01,103.9,96.3,131.8,108.5,107.4,113.4,118.8,107.0,46.8
2006-01-01,72.9,73.2,64.1,101.2,71.2,85.2,55.9,64.8,45.6
2006-02-01,66.7,71.7,68.2,96.9,54.2,68.4,52.3,55.4,42.7
2006-03-01,76.3,81.0,80.8,110.9,59.9,79.3,57.3,64.6,50.5
2006-04-01,73.3,78.6,81.4,107.9,50.0,70.0,60.0,64.3,43.7
2006-05-01,81.4,81.5,80.5,117.2,54.7,87.6,57.3,79.5,52.1
2006-06-01,87.8,85.5,92.2,122.1,67.0,101.7,71.2,82.0,48.4
2006-07-01,82.8,83.9,91.4,122.1,66.2,93.3,66.0,70.5,43.2
2006-08-01,87.3,84.5,84.0,118.9,73.2,104.8,80.1,76.6,54.3
2006-09-01,82.7,81.1,83.9,111.5,71.5,98.6,63.3,74.3,55.0
2006-10-01,82.8,79.2,81.0,114.4,74.5,102.2,60.2,75.6,54.7
2006-11-01,85.7,81.8,87.4,107.0,73.7,105.3,69.4,79.5,61.0
2006-12-01,108.6,99.0,142.1,109.1,113.0,121.4,121.1,113.6,53.0
2007-01-01,78.6,77.1,69.1,106.5,78.8,91.8,61.6,72.3,54.5
2007-02-01,71.5,75.6,74.4,98.3,61.3,74.1,58.6,61.1,48.0
2007-03-01,84.0,88.2,94.1,112.0,67.2,86.8,68.0,74.1,55.6
2007-04-01,77.8,79.1,79.7,110.5,55.1,79.7,74.4,69.8,48.4
2007-05-01,85.7,84.8,86.6,121.1,63.4,92.5,67.4,82.8,53.7
2007-06-01,96.7,91.2,99.9,126.0,77.3,107.7,101.2,93.8,52.7
2007-07-01,88.5,84.5,96.0,125.1,76.5,100.9,81.3,79.4,55.1
2007-08-01,93.1,88.8,92.3,121.3,88.6,110.0,89.5,82.8,65.9
2007-09-01,85.7,82.1,86.3,112.7,81.3,99.6,71.3,79.8,63.5
2007-10-01,89.3,85.8,87.6,115.8,85.1,107.5,70.4,83.4,60.5
2007-11-01,91.9,87.2,95.0,108.7,90.0,110.7,79.1,86.7,68.9
2007-12-01,112.4,102.7,140.9,106.8,139.3,122.3,125.5,120.4,59.0
2008-01-01,81.7,79.8,73.0,104.8,94.5,94.4,64.7,75.9,62.6
2008-02-01,78.4,81.8,82.7,103.3,77.9,83.3,62.7,67.9,55.0
2008-03-01,79.8,87.0,91.2,110.8,74.1,77.7,64.5,65.5,52.5
2008-04-01,86.2,85.6,86.7,113.2,74.4,90.9,78.8,81.6,58.6
2008-05-01,90.9,90.7,93.5,121.8,72.5,95.9,72.6,89.8,55.2
2008-06-01,94.1,88.7,96.1,127.4,87.6,105.8,83.9,92.1,56.8
2008-07-01,92.2,91.2,103.1,124.5,83.3,101.5,78.9,84.3,54.9
2008-08-01,92.9,89.7,92.5,121.7,90.6,106.6,84.6,85.1,61.0
2008-09-01,87.6,85.2,87.3,113.3,82.8,100.7,68.8,83.1,62.4
2008-10-01,89.4,88.3,92.1,113.1,82.4,102.1,69.7,85.0,59.5
2008-11-01,88.3,86.8,90.2,105.4,82.1,97.8,77.3,85.8,61.9
2008-12-01,114.4,107.2,144.7,106.7,138.3,115.6,136.3,123.0,57.7
2009-01-01,82.3,82.5,76.0,97.9,88.0,85.3,75.9,81.4,55.0
2009-02-01,73.7,78.8,76.4,95.9,69.0,68.3,71.4,65.6,50.0
2009-03-01,80.6,84.8,83.4,104.6,72.7,75.7,76.5,73.3,59.5
2009-04-01,83.1,88.9,92.4,105.7,61.0,74.4,77.5,80.1,49.3
2009-05-01,89.2,90.6,89.8,111.4,60.3,87.3,85.0,90.4,54.9
2009-06-01,95.0,91.4,96.7,115.1,74.1,101.0,93.4,98.2,57.1
2009-07-01,94.5,92.9,105.5,114.5,84.4,103.2,91.3,89.7,56.0
2009-08-01,93.2,90.7,89.9,110.7,86.5,104.5,95.7,87.3,63.6
2009-09-01,88.4,86.8,88.1,103.6,83.5,99.1,80.0,84.5,65.1
2009-10-01,93.0,93.5,95.0,106.0,88.1,103.9,74.9,91.4,60.8
2009-11-01,89.5,87.3,89.3,99.1,92.0,102.8,78.9,86.5,66.8
2009-12-01,118.4,110.7,148.0,104.6,152.4,122.1,145.5,125.6,60.7
2010-01-01,82.4,82.9,73.3,98.7,85.8,87.7,79.6,78.4,57.2
2010-02-01,75.4,81.3,77.7,90.8,73.2,72.4,71.3,67.5,51.1
2010-03-01,89.7,99.2,103.8,99.5,79.4,82.3,85.7,80.1,63.5
2010-04-01,78.5,81.8,73.9,95.9,60.7,74.8,73.6,78.8,51.8
2010-05-01,86.4,88.6,92.9,106.9,64.2,84.9,71.2,88.2,54.5
2010-06-01,97.2,93.5,96.1,110.4,79.6,106.1,94.5,101.9,57.9
2010-07-01,95.8,94.3,106.2,108.4,81.4,104.1,98.8,92.1,56.4
2010-08-01,93.1,90.5,89.5,108.7,86.9,105.3,91.3,89.4,62.8
2010-09-01,90.5,87.9,89.0,99.6,87.2,101.5,82.7,89.5,70.9
2010-10-01,92.3,91.6,91.1,102.7,88.9,103.0,76.8,92.3,65.3
2010-11-01,96.5,93.2,93.0,98.9,101.4,108.0,90.9,97.2,79.2
2010-12-01,120.8,111.6,149.4,99.5,163.9,122.2,154.5,132.0,65.6
2011-01-01,82.3,82.4,73.1,93.0,94.4,85.1,78.8,81.1,63.3
2011-02-01,77.2,82.2,77.7,90.0,76.0,73.3,74.6,71.1,58.6
2011-03-01,85.1,90.8,87.4,96.3,86.6,81.1,77.8,79.6,65.7
2011-04-01,86.6,94.0,96.6,97.0,72.0,80.2,78.7,83.7,52.5
2011-05-01,92.2,92.9,92.2,104.7,76.1,92.7,83.6,96.3,60.9
2011-06-01,98.1,94.8,100.8,108.4,92.3,104.1,97.8,101.9,62.6
2011-07-01,94.5,93.3,104.8,105.7,89.8,103.6,96.6,89.8,55.2
2011-08-01,99.3,96.8,92.7,107.6,102.5,113.3,98.7,96.2,69.4
2011-09-01,92.8,92.3,93.6,97.6,97.1,102.8,84.0,90.7,68.5
2011-10-01,93.2,92.5,92.1,101.6,98.9,105.7,75.6,91.8,69.1
2011-11-01,97.1,95.8,95.0,95.8,116.6,111.3,83.4,96.0,74.7
2011-12-01,123.5,113.9,152.7,96.8,193.1,128.7,144.5,135.3,73.2
2012-01-01,87.4,86.7,74.9,94.5,105.7,92.7,85.4,85.4,73.3
2012-02-01,82.7,88.1,83.1,93.2,90.9,80.7,76.1,76.0,62.0
2012-03-01,92.5,99.2,99.7,96.7,90.2,88.8,83.5,87.6,73.3
2012-04-01,83.4,88.7,88.6,93.3,76.7,81.6,74.7,79.5,56.3
2012-05-01,96.0,99.3,96.5,107.9,78.7,95.5,81.4,98.8,65.5
2012-06-01,104.2,101.7,106.3,103.5,111.1,114.6,99.6,108.5,66.2
2012-07-01,96.9,93.3,104.4,105.8,106.3,107.7,92.5,96.1,63.8
2012-08-01,101.6,100.3,98.6,104.9,113.3,115.7,93.1,99.6,71.3
2012-09-01,93.0,91.7,92.4,95.8,103.0,101.8,83.5,93.4,72.8
2012-10-01,96.7,95.9,93.4,104.2,108.4,107.1,76.2,97.4,76.2
