dato;SNN471_IVL_U;SNN472_IVL_U;SNN473_IVL_U;SNN474_IVL_U;SNN475_IVL_U;SNN476_IVL_U;SNN477_IVL_U;SNN479_IVL_U;SNN47_IVL_U
01.01.2000;64.7;50.6;102.5;30.mar;60.2;45.4;45.6;32.4;59.0
01.02.2000;66.7;56.4;96.8;25.mai;55.2;42.3;42.5;37.7;57.9
01.03.2000;72.7;62.3;104.5;25.jun;60.7;46.6;45.6;34.4;62.7
01.04.2000;72.4;65.0;105.7;20.jun;53.3;45.3;43.8;30.0;60.8
01.05.2000;75.6;60.6;113.5;22.mai;66.3;56.2;57.9;34.9;68.6
01.06.2000;73.9;66.2;118.0;26.mai;70.1;62.8;53.2;28.aug;68.6
01.07.2000;73.5;67.0;120.6;24.jul;67.4;55.6;48.9;27.apr;66.7
01.08.2000;74.7;63.1;119.4;30.0;76.5;71.4;52.1;36.1;70.8
01.09.2000;72.9;61.9;110.7;27.apr;68.9;49.7;48.9;36.7;65.7
01.10.2000;70.7;58.8;112.7;30.jan;73.5;43.1;48.8;39.9;65.4
01.11.2000;72.8;66.4;111.6;29.2;72.1;48.9;51.6;40.6;67.1
01.12.2000;90.3;112.5;116.2;43.9;87.0;91.3;78.7;29.apr;87.0
01.01.2001;66.6;51.8;102.7;34.1;65.4;46.0;46.9;33.1;61.0
01.02.2001;65.3;53.9;95.7;25.apr;53.5;40.0;40.2;32.5;56.0
01.03.2001;75.8;64.5;107.4;28.feb;60.9;46.9;46.6;35.1;64.5
01.04.2001;71.3;61.3;106.1;23.mar;54.5;44.0;45.3;30.jan;60.7
01.05.2001;75.1;61.1;109.1;23.feb;65.3;46.7;57.6;31.6;67.0
01.06.2001;77.9;68.2;121.4;29.mai;73.4;57.9;57.5;24.sep;71.3
01.07.2001;74.2;65.8;123.4;28.0;70.2;51.5;50.6;23.sep;67.6
01.08.2001;76.5;66.2;119.8;35.1;79.7;63.3;54.4;30.jan;71.8
01.09.2001;71.6;58.3;107.6;31.6;69.1;46.9;50.3;31.2;64.8
01.10.2001;74.5;60.9;111.2;35.5;79.0;45.2;54.3;37.4;68.9
01.11.2001;76.8;69.2;111.0;35.2;79.3;51.7;55.7;36.3;70.9
01.12.2001;92.0;110.6;113.1;47.8;86.9;94.9;83.4;29.0;88.6
01.01.2002;69.3;54.4;110.5;40.0;71.0;48.1;51.1;28.mai;64.6
01.02.2002;68.0;56.2;102.7;29.apr;57.6;41.8;43.2;29.jul;59.1
01.03.2002;78.8;69.8;116.3;30.0;59.1;46.9;45.2;29.jul;65.8
01.04.2002;72.6;58.7;112.6;29.sep;66.7;52.8;54.3;33.2;66.5
01.05.2002;78.1;67.2;127.2;29.0;68.8;53.4;59.4;29.mai;71.3
01.06.2002;78.6;69.4;134.4;34.3;74.7;61.6;59.1;25.mai;73.7
01.07.2002;76.7;71.0;138.1;34.7;73.7;63.0;53.8;25.feb;72.2
01.08.2002;81.3;69.5;130.8;39.0;76.9;74.1;54.1;31.jan;75.0
01.09.2002;72.8;61.5;120.2;36.1;72.2;55.4;53.5;32.7;68.4
01.10.2002;77.3;66.4;122.4;38.2;80.0;53.3;59.2;38.0;73.0
01.11.2002;79.2;75.3;119.4;38.9;80.3;62.1;59.5;38.6;74.6
01.12.2002;92.6;119.4;116.7;54.5;86.5;109.8;86.6;29.jun;91.4
01.01.2003;71.1;59.4;101.1;41.9;71.2;52.3;54.0;28.jan;65.7
01.02.2003;69.2;61.0;92.6;33.3;57.5;46.9;45.8;30.mai;59.9
01.03.2003;75.4;64.5;105.2;38.4;63.0;52.7;51.2;34.5;66.1
01.04.2003;78.4;71.1;107.9;44.6;64.5;55.7;54.3;32.6;68.9
01.05.2003;79.2;69.7;113.8;38.4;71.4;56.2;63.7;31.jan;72.5
01.06.2003;78.4;71.4;121.6;46.2;77.7;65.4;65.5;30.0;75.2
01.07.2003;80.9;77.1;123.5;44.4;77.7;68.1;60.3;26.jun;75.5
01.08.2003;80.1;70.6;117.5;47.3;82.4;75.9;59.3;34.4;76.0
01.09.2003;76.4;66.7;110.3;47.7;78.0;58.5;60.2;39.2;72.2
01.10.2003;79.6;72.3;111.8;47.2;84.6;57.2;64.8;38.8;75.6
01.11.2003;77.7;73.1;102.9;49.0;80.4;63.7;62.1;39.8;73.6
